
state,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-11,2025-12
AK,,0.23319462170047028,0.5280661381195935,0.6899842842893132,1.026993318485525,0.8063292969838493,0.8642618958476835,0.5550486881771239,0.18284499918926278,0.2272782057418826,0.8053516026290723,0.5415869964587228,0.37832303905947584,0.8790889625872196,0.8212115632480312,1.3029705337397572,0.6762116414603249,0.8139478096664442,1.243682281322159,0.14513741802129565,0.0197483046717338,0.34425326339992846,0.699791173427607,-0.4349210051087446,-0.41782862062743714,0.9148153681353043,0.5206676389155813,0.4966628019929118,0.4589744788987222,0.41528677445085166,0.2852947994745389,0.12852598875629687,0.42140581472302996,0.38530625256717727,0.06626136290769559,-0.429955936382404,-0.11247352887994197,0.6507492360369589,0.3920098276802838,0.8693170259216186,0.5562880416132393,0.07244424487351049,-0.18845799480693393,-0.14625579178929562,0.08043844957890744,0.2468195368309868,0.08765500426308659,-0.10162662378420931,-0.04009359160787706,0.570215873852077,0.5592444990758684,0.5206175192678841,0.45108309998910046,0.34705225422750857,0.07886826954252951,0.18125406800091676,0.25114062126713066,0.34815865339904534,,-0.15972631621745179
AL,,0.5480807202434831,0.523273574089424,0.7628677196056581,0.7394670980224759,0.8304595131547835,0.896496146030542,0.5140101196936463,0.2718496804340591,0.32798944366923843,0.9701692788546965,0.4491690372810258,0.3364882992994348,0.8805517282359766,1.1243069718812717,1.4234331314072786,0.45980229578101994,1.2248150093433223,1.4542528070255956,0.06297251128111943,-0.1529860087341095,0.169935368843325,0.41021219790305324,0.053663670733555616,-0.2719807883290488,0.7747957183254989,0.6359360689717037,0.3671074464991289,0.6671029936118986,0.1943687249208514,0.3041681170979581,0.16510045857495026,0.5705078394370361,0.22811271845470674,-0.08776701361889655,-0.15497972571260565,-0.05887666008764183,0.5579841608815189,0.9063946927811348,0.4440134061700062,0.20164865841241938,0.06292936179139155,0.01998060898276934,0.15129831639686958,-0.018965466501424937,0.10367574674335522,0.2649651396049489,-0.003910208577042661,0.042362249370267384,0.6201812987977461,0.34832039001525417,0.06322845796758236,0.2914408591057525,0.13726063769942842,0.2619464935765244,0.14119681106522938,0.2516217935805998,0.2525848487361286,,0.024872686919846614
AR,,0.5480807202434831,0.523273574089424,0.7628677196056581,0.7394670980224759,0.8304595131547835,0.896496146030542,0.5140101196936463,0.2718496804340591,0.32798944366923843,0.9701692788546965,0.4491690372810258,0.3364882992994348,0.8805517282359766,1.1243069718812717,1.4234331314072786,0.45980229578101994,1.2248150093433223,1.4542528070255956,0.06297251128111943,-0.1529860087341095,0.169935368843325,0.41021219790305324,0.053663670733555616,-0.2719807883290488,0.7747957183254989,0.6359360689717037,0.3671074464991289,0.6671029936118986,0.1943687249208514,0.3041681170979581,0.16510045857495026,0.5705078394370361,0.22811271845470674,-0.08776701361889655,-0.15497972571260565,-0.05887666008764183,0.5579841608815189,0.9063946927811348,0.4440134061700062,0.20164865841241938,0.06292936179139155,0.01998060898276934,0.15129831639686958,-0.018965466501424937,0.10367574674335522,0.2649651396049489,-0.003910208577042661,0.042362249370267384,0.6201812987977461,0.34832039001525417,0.06322845796758236,0.2914408591057525,0.13726063769942842,0.2619464935765244,0.14119681106522938,0.2516217935805998,0.2525848487361286,,0.024872686919846614
AZ,,0.23319462170047028,0.5280661381195935,0.6899842842893132,1.026993318485525,0.8063292969838493,0.8642618958476835,0.5550486881771239,0.18284499918926278,0.2272782057418826,0.8053516026290723,0.5415869964587228,0.37832303905947584,0.8790889625872196,0.8212115632480312,1.3029705337397572,0.6762116414603249,0.8139478096664442,1.243682281322159,0.14513741802129565,0.0197483046717338,0.34425326339992846,0.699791173427607,-0.4349210051087446,-0.41782862062743714,0.9148153681353043,0.5206676389155813,0.4966628019929118,0.4589744788987222,0.41528677445085166,0.2852947994745389,0.12852598875629687,0.42140581472302996,0.38530625256717727,0.06626136290769559,-0.429955936382404,-0.11247352887994197,0.6507492360369589,0.3920098276802838,0.8693170259216186,0.5562880416132393,0.07244424487351049,-0.18845799480693393,-0.14625579178929562,0.08043844957890744,0.2468195368309868,0.08765500426308659,-0.10162662378420931,-0.04009359160787706,0.570215873852077,0.5592444990758684,0.5206175192678841,0.45108309998910046,0.34705225422750857,0.07886826954252951,0.18125406800091676,0.25114062126713066,0.34815865339904534,,-0.15972631621745179
CA,,0.23319462170047028,0.5280661381195935,0.6899842842893132,1.026993318485525,0.8063292969838493,0.8642618958476835,0.5550486881771239,0.18284499918926278,0.2272782057418826,0.8053516026290723,0.5415869964587228,0.37832303905947584,0.8790889625872196,0.8212115632480312,1.3029705337397572,0.6762116414603249,0.8139478096664442,1.243682281322159,0.14513741802129565,0.0197483046717338,0.34425326339992846,0.699791173427607,-0.4349210051087446,-0.41782862062743714,0.9148153681353043,0.5206676389155813,0.4966628019929118,0.4589744788987222,0.41528677445085166,0.2852947994745389,0.12852598875629687,0.42140581472302996,0.38530625256717727,0.06626136290769559,-0.429955936382404,-0.11247352887994197,0.6507492360369589,0.3920098276802838,0.8693170259216186,0.5562880416132393,0.07244424487351049,-0.18845799480693393,-0.14625579178929562,0.08043844957890744,0.2468195368309868,0.08765500426308659,-0.10162662378420931,-0.04009359160787706,0.570215873852077,0.5592444990758684,0.5206175192678841,0.45108309998910046,0.34705225422750857,0.07886826954252951,0.18125406800091676,0.25114062126713066,0.34815865339904534,,-0.15972631621745179
CO,,0.23319462170047028,0.5280661381195935,0.6899842842893132,1.026993318485525,0.8063292969838493,0.8642618958476835,0.5550486881771239,0.18284499918926278,0.2272782057418826,0.8053516026290723,0.5415869964587228,0.37832303905947584,0.8790889625872196,0.8212115632480312,1.3029705337397572,0.6762116414603249,0.8139478096664442,1.243682281322159,0.14513741802129565,0.0197483046717338,0.34425326339992846,0.699791173427607,-0.4349210051087446,-0.41782862062743714,0.9148153681353043,0.5206676389155813,0.4966628019929118,0.4589744788987222,0.41528677445085166,0.2852947994745389,0.12852598875629687,0.42140581472302996,0.38530625256717727,0.06626136290769559,-0.429955936382404,-0.11247352887994197,0.6507492360369589,0.3920098276802838,0.8693170259216186,0.5562880416132393,0.07244424487351049,-0.18845799480693393,-0.14625579178929562,0.08043844957890744,0.2468195368309868,0.08765500426308659,-0.10162662378420931,-0.04009359160787706,0.570215873852077,0.5592444990758684,0.5206175192678841,0.45108309998910046,0.34705225422750857,0.07886826954252951,0.18125406800091676,0.25114062126713066,0.34815865339904534,,-0.15972631621745179
CT,,0.4383261919956233,0.37977395099245614,0.6235690284403863,0.7322149412107168,0.5795156904586966,1.0228554804192114,0.16822305182606012,0.14374868522542883,0.2776319014109184,0.6329798933744805,0.5547537434602166,0.19666361895561033,0.7709922349821914,0.6700974562950249,1.2891838224062733,0.6440954011856344,0.8703904103887565,1.1599694988099758,-0.1752307857974886,0.3069470050602196,0.09678838539374252,0.2764103766213437,0.12759698832147595,-0.07911956782558292,0.7051760506246965,0.5358932467139114,-0.23815171193579038,0.19438188168087897,0.12602293425001035,0.34844879436077336,0.19883253704572204,0.47427632249515084,0.29545937275116946,-0.023074029705436015,-0.015175466329434657,-0.03446618519409752,0.6294619839756089,0.45389821238287664,0.6771451011806192,0.40218685215749306,0.4346278267060833,0.2564426594829825,0.020905644831535435,0.2462047279914144,0.31152265898081183,0.08100111261905218,-0.04398007458287815,-0.011305407957167085,0.8400562278449965,0.6121416168417853,0.0120478661722916,0.3059789368436645,0.1399126296668843,0.46382495180357103,0.17249714991734205,0.38134280334627496,0.1142650236246788,,0.1767056842305012
DE,,0.5480807202434831,0.523273574089424,0.7628677196056581,0.7394670980224759,0.8304595131547835,0.896496146030542,0.5140101196936463,0.2718496804340591,0.32798944366923843,0.9701692788546965,0.4491690372810258,0.3364882992994348,0.8805517282359766,1.1243069718812717,1.4234331314072786,0.45980229578101994,1.2248150093433223,1.4542528070255956,0.06297251128111943,-0.1529860087341095,0.169935368843325,0.41021219790305324,0.053663670733555616,-0.2719807883290488,0.7747957183254989,0.6359360689717037,0.3671074464991289,0.6671029936118986,0.1943687249208514,0.3041681170979581,0.16510045857495026,0.5705078394370361,0.22811271845470674,-0.08776701361889655,-0.15497972571260565,-0.05887666008764183,0.5579841608815189,0.9063946927811348,0.4440134061700062,0.20164865841241938,0.06292936179139155,0.01998060898276934,0.15129831639686958,-0.018965466501424937,0.10367574674335522,0.2649651396049489,-0.003910208577042661,0.042362249370267384,0.6201812987977461,0.34832039001525417,0.06322845796758236,0.2914408591057525,0.13726063769942842,0.2619464935765244,0.14119681106522938,0.2516217935805998,0.2525848487361286,,0.024872686919846614
FL,,0.5480807202434831,0.523273574089424,0.7628677196056581,0.7394670980224759,0.8304595131547835,0.896496146030542,0.5140101196936463,0.2718496804340591,0.32798944366923843,0.9701692788546965,0.4491690372810258,0.3364882992994348,0.8805517282359766,1.1243069718812717,1.4234331314072786,0.45980229578101994,1.2248150093433223,1.4542528070255956,0.06297251128111943,-0.1529860087341095,0.169935368843325,0.41021219790305324,0.053663670733555616,-0.2719807883290488,0.7747957183254989,0.6359360689717037,0.3671074464991289,0.6671029936118986,0.1943687249208514,0.3041681170979581,0.16510045857495026,0.5705078394370361,0.22811271845470674,-0.08776701361889655,-0.15497972571260565,-0.05887666008764183,0.5579841608815189,0.9063946927811348,0.4440134061700062,0.20164865841241938,0.06292936179139155,0.01998060898276934,0.15129831639686958,-0.018965466501424937,0.10367574674335522,0.2649651396049489,-0.003910208577042661,0.042362249370267384,0.6201812987977461,0.34832039001525417,0.06322845796758236,0.2914408591057525,0.13726063769942842,0.2619464935765244,0.14119681106522938,0.2516217935805998,0.2525848487361286,,0.024872686919846614
GA,,0.5480807202434831,0.523273574089424,0.7628677196056581,0.7394670980224759,0.8304595131547835,0.896496146030542,0.5140101196936463,0.2718496804340591,0.32798944366923843,0.9701692788546965,0.4491690372810258,0.3364882992994348,0.8805517282359766,1.1243069718812717,1.4234331314072786,0.45980229578101994,1.2248150093433223,1.4542528070255956,0.06297251128111943,-0.1529860087341095,0.169935368843325,0.41021219790305324,0.053663670733555616,-0.2719807883290488,0.7747957183254989,0.6359360689717037,0.3671074464991289,0.6671029936118986,0.1943687249208514,0.3041681170979581,0.16510045857495026,0.5705078394370361,0.22811271845470674,-0.08776701361889655,-0.15497972571260565,-0.05887666008764183,0.5579841608815189,0.9063946927811348,0.4440134061700062,0.20164865841241938,0.06292936179139155,0.01998060898276934,0.15129831639686958,-0.018965466501424937,0.10367574674335522,0.2649651396049489,-0.003910208577042661,0.042362249370267384,0.6201812987977461,0.34832039001525417,0.06322845796758236,0.2914408591057525,0.13726063769942842,0.2619464935765244,0.14119681106522938,0.2516217935805998,0.2525848487361286,,0.024872686919846614
