
,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
AK,327.702,0.1769900702467437,0.22023747875302735,0.3395085181076332,0.37319536413809773,0.33197124525432703,0.5318028960397445,0.4757316992897032,0.14055483425249246,0.34702810719511784,0.36153397085798245,0.39153042333120397,0.36588558134335636,0.3994244536852253,0.5846399925278288,0.5835633054464846,0.5109371123253885,0.6288947125196186,0.6808716983284844,0.5575592052514875,0.6561764830180196,0.6829683371400415,0.6641571959166453,0.5805138458904135,0.7339474731943058,0.7405933469258656,0.7914282235480368,0.6606534052777141,0.4440343386555281,0.5681878524623207,0.47996705176673904,0.4288033967955367,0.2603171945393575,0.5772126266566783,0.2599673613831741,0.37703624154126664,0.39727553030224827,0.6324579581083324,0.5128911752097471,0.5757718846628312,0.3445455784579526,0.43643516736723026,0.2404363920515685,0.3275583783486749,0.42635321072357746,0.21723119499474933,0.2855495591797741,0.23760939778478518,0.24418461538461997,0.46925415354997796,0.3622116909811173,0.3299767433365442,0.3395713488191463,0.3144737765155849,0.18471673953250814,0.19641116366394218,0.39181206473666713,0.1665462237558151,,,0.36813802428611964
AL,327.702,0.1769900702467437,0.22023747875302735,0.3395085181076332,0.37319536413809773,0.33197124525432703,0.5318028960397445,0.4757316992897032,0.14055483425249246,0.34702810719511784,0.36153397085798245,0.39153042333120397,0.36588558134335636,0.3994244536852253,0.5846399925278288,0.5835633054464846,0.5109371123253885,0.6288947125196186,0.6808716983284844,0.5575592052514875,0.6561764830180196,0.6829683371400415,0.6641571959166453,0.5805138458904135,0.7339474731943058,0.7405933469258656,0.7914282235480368,0.6606534052777141,0.4440343386555281,0.5681878524623207,0.47996705176673904,0.4288033967955367,0.2603171945393575,0.5772126266566783,0.2599673613831741,0.37703624154126664,0.39727553030224827,0.6324579581083324,0.5128911752097471,0.5757718846628312,0.3445455784579526,0.43643516736723026,0.2404363920515685,0.3275583783486749,0.42635321072357746,0.21723119499474933,0.2855495591797741,0.23760939778478518,0.24418461538461997,0.46925415354997796,0.3622116909811173,0.3299767433365442,0.3395713488191463,0.3144737765155849,0.18471673953250814,0.19641116366394218,0.39181206473666713,0.1665462237558151,,,0.36813802428611964
AR,327.702,0.1769900702467437,0.22023747875302735,0.3395085181076332,0.37319536413809773,0.33197124525432703,0.5318028960397445,0.4757316992897032,0.14055483425249246,0.34702810719511784,0.36153397085798245,0.39153042333120397,0.36588558134335636,0.3994244536852253,0.5846399925278288,0.5835633054464846,0.5109371123253885,0.6288947125196186,0.6808716983284844,0.5575592052514875,0.6561764830180196,0.6829683371400415,0.6641571959166453,0.5805138458904135,0.7339474731943058,0.7405933469258656,0.7914282235480368,0.6606534052777141,0.4440343386555281,0.5681878524623207,0.47996705176673904,0.4288033967955367,0.2603171945393575,0.5772126266566783,0.2599673613831741,0.37703624154126664,0.39727553030224827,0.6324579581083324,0.5128911752097471,0.5757718846628312,0.3445455784579526,0.43643516736723026,0.2404363920515685,0.3275583783486749,0.42635321072357746,0.21723119499474933,0.2855495591797741,0.23760939778478518,0.24418461538461997,0.46925415354997796,0.3622116909811173,0.3299767433365442,0.3395713488191463,0.3144737765155849,0.18471673953250814,0.19641116366394218,0.39181206473666713,0.1665462237558151,,,0.36813802428611964
AZ,327.702,0.1769900702467437,0.22023747875302735,0.3395085181076332,0.37319536413809773,0.33197124525432703,0.5318028960397445,0.4757316992897032,0.14055483425249246,0.34702810719511784,0.36153397085798245,0.39153042333120397,0.36588558134335636,0.3994244536852253,0.5846399925278288,0.5835633054464846,0.5109371123253885,0.6288947125196186,0.6808716983284844,0.5575592052514875,0.6561764830180196,0.6829683371400415,0.6641571959166453,0.5805138458904135,0.7339474731943058,0.7405933469258656,0.7914282235480368,0.6606534052777141,0.4440343386555281,0.5681878524623207,0.47996705176673904,0.4288033967955367,0.2603171945393575,0.5772126266566783,0.2599673613831741,0.37703624154126664,0.39727553030224827,0.6324579581083324,0.5128911752097471,0.5757718846628312,0.3445455784579526,0.43643516736723026,0.2404363920515685,0.3275583783486749,0.42635321072357746,0.21723119499474933,0.2855495591797741,0.23760939778478518,0.24418461538461997,0.46925415354997796,0.3622116909811173,0.3299767433365442,0.3395713488191463,0.3144737765155849,0.18471673953250814,0.19641116366394218,0.39181206473666713,0.1665462237558151,,,0.36813802428611964
CA,327.702,0.1769900702467437,0.22023747875302735,0.3395085181076332,0.37319536413809773,0.33197124525432703,0.5318028960397445,0.4757316992897032,0.14055483425249246,0.34702810719511784,0.36153397085798245,0.39153042333120397,0.36588558134335636,0.3994244536852253,0.5846399925278288,0.5835633054464846,0.5109371123253885,0.6288947125196186,0.6808716983284844,0.5575592052514875,0.6561764830180196,0.6829683371400415,0.6641571959166453,0.5805138458904135,0.7339474731943058,0.7405933469258656,0.7914282235480368,0.6606534052777141,0.4440343386555281,0.5681878524623207,0.47996705176673904,0.4288033967955367,0.2603171945393575,0.5772126266566783,0.2599673613831741,0.37703624154126664,0.39727553030224827,0.6324579581083324,0.5128911752097471,0.5757718846628312,0.3445455784579526,0.43643516736723026,0.2404363920515685,0.3275583783486749,0.42635321072357746,0.21723119499474933,0.2855495591797741,0.23760939778478518,0.24418461538461997,0.46925415354997796,0.3622116909811173,0.3299767433365442,0.3395713488191463,0.3144737765155849,0.18471673953250814,0.19641116366394218,0.39181206473666713,0.1665462237558151,,,0.36813802428611964
CO,327.702,0.1769900702467437,0.22023747875302735,0.3395085181076332,0.37319536413809773,0.33197124525432703,0.5318028960397445,0.4757316992897032,0.14055483425249246,0.34702810719511784,0.36153397085798245,0.39153042333120397,0.36588558134335636,0.3994244536852253,0.5846399925278288,0.5835633054464846,0.5109371123253885,0.6288947125196186,0.6808716983284844,0.5575592052514875,0.6561764830180196,0.6829683371400415,0.6641571959166453,0.5805138458904135,0.7339474731943058,0.7405933469258656,0.7914282235480368,0.6606534052777141,0.4440343386555281,0.5681878524623207,0.47996705176673904,0.4288033967955367,0.2603171945393575,0.5772126266566783,0.2599673613831741,0.37703624154126664,0.39727553030224827,0.6324579581083324,0.5128911752097471,0.5757718846628312,0.3445455784579526,0.43643516736723026,0.2404363920515685,0.3275583783486749,0.42635321072357746,0.21723119499474933,0.2855495591797741,0.23760939778478518,0.24418461538461997,0.46925415354997796,0.3622116909811173,0.3299767433365442,0.3395713488191463,0.3144737765155849,0.18471673953250814,0.19641116366394218,0.39181206473666713,0.1665462237558151,,,0.36813802428611964
CT,327.702,0.1769900702467437,0.22023747875302735,0.3395085181076332,0.37319536413809773,0.33197124525432703,0.5318028960397445,0.4757316992897032,0.14055483425249246,0.34702810719511784,0.36153397085798245,0.39153042333120397,0.36588558134335636,0.3994244536852253,0.5846399925278288,0.5835633054464846,0.5109371123253885,0.6288947125196186,0.6808716983284844,0.5575592052514875,0.6561764830180196,0.6829683371400415,0.6641571959166453,0.5805138458904135,0.7339474731943058,0.7405933469258656,0.7914282235480368,0.6606534052777141,0.4440343386555281,0.5681878524623207,0.47996705176673904,0.4288033967955367,0.2603171945393575,0.5772126266566783,0.2599673613831741,0.37703624154126664,0.39727553030224827,0.6324579581083324,0.5128911752097471,0.5757718846628312,0.3445455784579526,0.43643516736723026,0.2404363920515685,0.3275583783486749,0.42635321072357746,0.21723119499474933,0.2855495591797741,0.23760939778478518,0.24418461538461997,0.46925415354997796,0.3622116909811173,0.3299767433365442,0.3395713488191463,0.3144737765155849,0.18471673953250814,0.19641116366394218,0.39181206473666713,0.1665462237558151,,,0.36813802428611964
DE,327.702,0.1769900702467437,0.22023747875302735,0.3395085181076332,0.37319536413809773,0.33197124525432703,0.5318028960397445,0.4757316992897032,0.14055483425249246,0.34702810719511784,0.36153397085798245,0.39153042333120397,0.36588558134335636,0.3994244536852253,0.5846399925278288,0.5835633054464846,0.5109371123253885,0.6288947125196186,0.6808716983284844,0.5575592052514875,0.6561764830180196,0.6829683371400415,0.6641571959166453,0.5805138458904135,0.7339474731943058,0.7405933469258656,0.7914282235480368,0.6606534052777141,0.4440343386555281,0.5681878524623207,0.47996705176673904,0.4288033967955367,0.2603171945393575,0.5772126266566783,0.2599673613831741,0.37703624154126664,0.39727553030224827,0.6324579581083324,0.5128911752097471,0.5757718846628312,0.3445455784579526,0.43643516736723026,0.2404363920515685,0.3275583783486749,0.42635321072357746,0.21723119499474933,0.2855495591797741,0.23760939778478518,0.24418461538461997,0.46925415354997796,0.3622116909811173,0.3299767433365442,0.3395713488191463,0.3144737765155849,0.18471673953250814,0.19641116366394218,0.39181206473666713,0.1665462237558151,,,0.36813802428611964
FL,327.702,0.1769900702467437,0.22023747875302735,0.3395085181076332,0.37319536413809773,0.33197124525432703,0.5318028960397445,0.4757316992897032,0.14055483425249246,0.34702810719511784,0.36153397085798245,0.39153042333120397,0.36588558134335636,0.3994244536852253,0.5846399925278288,0.5835633054464846,0.5109371123253885,0.6288947125196186,0.6808716983284844,0.5575592052514875,0.6561764830180196,0.6829683371400415,0.6641571959166453,0.5805138458904135,0.7339474731943058,0.7405933469258656,0.7914282235480368,0.6606534052777141,0.4440343386555281,0.5681878524623207,0.47996705176673904,0.4288033967955367,0.2603171945393575,0.5772126266566783,0.2599673613831741,0.37703624154126664,0.39727553030224827,0.6324579581083324,0.5128911752097471,0.5757718846628312,0.3445455784579526,0.43643516736723026,0.2404363920515685,0.3275583783486749,0.42635321072357746,0.21723119499474933,0.2855495591797741,0.23760939778478518,0.24418461538461997,0.46925415354997796,0.3622116909811173,0.3299767433365442,0.3395713488191463,0.3144737765155849,0.18471673953250814,0.19641116366394218,0.39181206473666713,0.1665462237558151,,,0.36813802428611964
GA,327.702,0.1769900702467437,0.22023747875302735,0.3395085181076332,0.37319536413809773,0.33197124525432703,0.5318028960397445,0.4757316992897032,0.14055483425249246,0.34702810719511784,0.36153397085798245,0.39153042333120397,0.36588558134335636,0.3994244536852253,0.5846399925278288,0.5835633054464846,0.5109371123253885,0.6288947125196186,0.6808716983284844,0.5575592052514875,0.6561764830180196,0.6829683371400415,0.6641571959166453,0.5805138458904135,0.7339474731943058,0.7405933469258656,0.7914282235480368,0.6606534052777141,0.4440343386555281,0.5681878524623207,0.47996705176673904,0.4288033967955367,0.2603171945393575,0.5772126266566783,0.2599673613831741,0.37703624154126664,0.39727553030224827,0.6324579581083324,0.5128911752097471,0.5757718846628312,0.3445455784579526,0.43643516736723026,0.2404363920515685,0.3275583783486749,0.42635321072357746,0.21723119499474933,0.2855495591797741,0.23760939778478518,0.24418461538461997,0.46925415354997796,0.3622116909811173,0.3299767433365442,0.3395713488191463,0.3144737765155849,0.18471673953250814,0.19641116366394218,0.39181206473666713,0.1665462237558151,,,0.36813802428611964
